bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1705247400,19006128,19006177,52,235.36391969569016,597722.886578,2539.5688827362146
1705248000,19006179,19006227,40,190.8925231715998,484838.05539700005,2539.8483258622055
1705248600,19006228,19006276,41,233.21548697431365,592472.1481140001,2540.4494178349955
1705249200,19006278,19006325,49,274.68915254404527,696607.0908540001,2535.9832538065075
1705249800,19006327,19006376,56,744.749323787441,1882964.921315,2528.320417585793
1705250400,19006377,19006425,67,537.0570566523596,1356007.5212639999,2524.8853999171115
1705251000,19006427,19006475,37,72.0472885478545,181938.848445,2525.2698902631773
1705251600,19006476,19006525,47,352.7316989595695,891324.555352,2526.919349695772
1705252200,19006530,19006574,45,323.42176118575236,818218.3422490001,2529.880300104695
1705252800,19006576,19006623,43,68.43224458665489,173109.333669,2529.6457059770096
1705253400,19006626,19006673,33,170.10733765982062,430937.44708199997,2533.326621946112
1705254000,19006677,19006722,45,312.6115390782812,792311.881553,2534.49339678596
1705254600,19006724,19006773,44,236.68244493641845,598847.1666700001,2530.17145750236
1705255200,19006774,19006823,43,154.98093135084594,392071.3957499999,2529.804101269907
1705255800,19006824,19006871,57,1330.755406505628,3365903.188434,2529.3176882687835
1705256400,19006874,19006922,57,412.0332729988545,1040454.061742,2525.1700042799516
1705257000,19006924,19006970,56,490.7610480378726,1240025.5764219998,2526.7400120278203
1705257600,19006973,19007022,61,440.15939319718854,1112996.793436,2528.622155150474
1705258200,19007026,19007071,48,68.68019189635498,173694.427952,2529.0323622584165
1705258800,19007073,19007121,35,166.97395966374106,422373.81760400004,2529.578974198094
1705259400,19007123,19007168,66,1136.609838128435,2862609.657608,2518.5508356338282
1705260000,19007173,19007198,25,132.36049413251493,333235.085053,2517.6325249993106
