block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19233038,1707996599,54797638.594852,19581.780431517367,2798.399194929886,110214851.800819,6979.273681633894,2800.1386390258135,34536807.030147,7809.72322451591,2795.3016954664513
19233040,1707996623,54797638.594852,19581.780431517367,2798.399194929886,110290153.596255,6952.39940549487,2801.0649191875746,34536807.030147,7809.72322451591,2795.3016954664513
19233088,1707997199,54731250.981131,19605.6136397491,2791.611218440364,109489838.616917,7238.252889959843,2791.290218769203,34536807.030147,7809.72322451591,2795.3016954664513
19233089,1707997211,54731250.981131,19605.6136397491,2791.611218440364,109466963.695927,7246.452505087781,2791.0118389836084,34536807.030147,7809.72322451591,2795.3016954664513
19233138,1707997799,54719032.52892,19610.017938264064,2790.3611664806,109517051.775398,7226.829804379884,2791.679327516417,34536807.030147,7809.72322451591,2795.3016954664513
19233139,1707997811,54719032.52892,19610.017938264064,2790.3611664806,109515053.764779,7227.545881512569,2791.6550099414662,34536807.030147,7809.72322451591,2795.3016954664513
19233188,1707998399,54728961.240303,19606.483059820184,2791.3706437469023,109685071.705291,7176.486767930175,2793.5595968201765,34536807.030147,7809.72322451591,2795.3016954664513
19233189,1707998411,54729591.391924,19606.258246777998,2791.4347910274014,109681665.291967,7177.706767930175,2793.5180806353046,34536807.030147,7809.72322451591,2795.3016954664513
19233238,1707998999,54787754.967478,19585.51485171243,2797.3609773494272,109260224.123343,7161.8835729482,2791.550976845946,34537338.141058,7809.533793839765,2795.3195152038006
19233239,1707999011,54787754.967478,19585.51485171243,2797.3609773494272,109261224.123343,7161.525529039602,2791.563138485457,34537338.141058,7809.533793839765,2795.3195152038006
19233288,1707999599,54686953.889172,19621.737279497454,2787.0597343240256,108599690.876314,7399.200659328468,2783.5533129055925,34289421.219691,7898.623643536201,2786.9804406946264
19233290,1707999623,54686953.889172,19621.737279497454,2787.0597343240256,108599207.008909,7399.374577293779,2783.547933334551,34289421.219691,7898.623643536201,2786.9804406946264
19233338,1708000199,54737794.607324,19603.573007118237,2792.235608654004,109556395.138081,7054.671369954717,2795.208728319298,34344443.43457,7965.501088930046,2788.95686139709
19233339,1708000211,54737844.607324,19603.55515405654,2792.240702115563,109556395.138081,7054.671369954717,2795.208728319298,34343294.528492,7965.119581194218,2788.990402285184
19233386,1708000787,54741950.594687,19602.100343986196,2792.6574006892833,109185872.733005,7189.2319063541245,2790.6678743331618,34343552.112103,7965.0275011132035,2788.999042844424
19233388,1708000811,54741950.594687,19602.100343986196,2792.6574006892833,109189872.733005,7187.79928687427,2790.716514714806,34343552.112103,7965.0275011132035,2788.999042844424
19233435,1708001375,54745660.721148,19600.781742281317,2793.0345555072845,109638177.053567,7026.184231251323,2796.2180276759236,34343552.112103,7965.0275011132035,2788.999042844424
19233438,1708001411,54745860.721148,19600.710350656984,2793.054932282748,109493448.813738,7077.985060797516,2794.451027282446,34343552.112103,7965.0275011132035,2788.999042844424
19233484,1708001987,54748706.465798,19599.70289880472,2793.3436924259104,109856060.383124,6945.553476431756,2798.9232374206604,34394166.66109,7946.939516130889,2790.6594822311413
19233486,1708002011,54748605.314298,19599.739219453455,2793.3333551682163,109856060.383124,6945.553476431756,2798.9232374206604,34394166.66109,7946.939516130889,2790.6594822311413
19233534,1708002599,54759802.168921,19595.748155774785,2794.47366508349,109663856.142245,7011.652351936905,2796.665845761391,34542739.271077,7893.891681344161,2793.995166708816
19233538,1708002647,54759717.603091,19595.77850868991,2794.4650210660093,109667749.494021,7011.962750514689,2796.665845761391,34542739.271077,7893.891681344161,2793.995166708816
19233584,1708003199,54877912.811697,19553.718277733038,2806.520582542589,110682371.31812,6650.5526731560985,2810.324058938035,35112320.084151,7691.108549150025,2806.801595645609
19233586,1708003223,54877912.811697,19553.718277733038,2806.520582542589,110671543.897018,6654.407470080023,2810.1324475258302,35112320.084151,7691.108549150025,2806.801595645609
19233631,1708003763,54880096.267581,19552.94973339332,2806.7425639546623,109801564.468513,6965.031871778799,2798.2883420756675,35079448.768423,7702.856649150027,2806.0594961345487
19233635,1708003811,54879095.330056,19553.307431921698,2806.6400286052517,109801564.468513,6965.031871778799,2798.2883420756675,35079448.768423,7702.856649150027,2806.0594961345487
19233684,1708004399,54798192.568367,19582.263890342034,2798.358395905054,109468670.689656,7084.23192126927,2794.2220649978,34849351.02343,7785.1798936504665,2800.867579849453
19233686,1708004423,54798192.568367,19582.263890342034,2798.358395905054,109489458.401061,7076.796443977525,2794.4756756196325,34849351.02343,7785.1798936504665,2800.867579849453
19233734,1708004999,54801195.720017,19581.19852566011,2798.664016822207,110321505.040239,6780.102962431923,2805.455676350348,34849351.02343,7785.1798936504665,2800.867579849453
19233736,1708005023,54801195.720017,19581.19852566011,2798.664016822207,110321700.144546,6780.0334526335655,2805.45842813362,34849351.02343,7785.1798936504665,2800.867579849453
19233782,1708005575,54878252.170309,19553.790063576424,2806.5276343808546,110708213.716374,6642.57328684974,2811.293328665414,35097243.686791,7697.030422839265,2806.4443371663388
19233785,1708005611,54879061.989705,19553.502384935284,2806.610340661312,110727209.528953,6635.820138881635,2811.6590490497683,35097243.686791,7697.030422839265,2806.4443371663388
19233834,1708006199,54885106.954758,19551.36305408541,2807.226626753746,110392372.34057,6750.829234713378,2806.6283721744467,35097243.686791,7697.030422839265,2806.4443371663388
19233835,1708006211,54885056.18977,19551.381192196688,2807.2214259561174,110483558.583854,6718.363357853097,2807.93217938476,35097243.686791,7697.030422839265,2806.4443371663388
19233881,1708006763,54996955.279948,19511.72958148029,2818.6612083917357,110873879.743606,6580.11431007327,2814.7095610231604,35473750.196069,7563.557527755694,2818.7580085874556
19233885,1708006811,54996955.279948,19511.72958148029,2818.6612083917357,110837176.544977,6593.162431551906,2814.001894136033,35473750.196069,7563.557527755694,2818.7580085874556
19233934,1708007399,55221963.266677,19432.795507873696,2841.689104601672,111635520.532364,6278.962974925709,2831.846186563614,35702257.413822,7482.845327283504,2826.532945956171
19233935,1708007411,55211217.132363,19436.589226777014,2840.5815695431124,111635520.532364,6278.962974925709,2831.846186563614,35702257.413822,7482.845327283504,2826.532945956171
19233983,1708007987,55188596.426879,19444.87718412259,2838.207508553584,111874824.284636,6187.90917374856,2838.8151185841225,36036424.574092,7365.047882641348,2837.9381394216334
19233985,1708008011,55188596.426879,19444.87718412259,2838.207508553584,111984670.080512,6149.248516141749,2840.9061906296192,36036424.574092,7365.047882641348,2837.9381394216334
19234034,1708008599,55231703.630061,19429.747265691356,2842.63623580879,112407158.038009,6000.910627594697,2848.9580209240507,36227586.15869,7297.967733188592,2844.4651387177546
19234035,1708008611,55231703.630061,19429.747265691356,2842.63623580879,112507158.038009,5965.840108510486,2851.078762807878,36227586.15869,7297.967733188592,2844.4651387177546
19234082,1708009187,55286663.296855,19410.49575028089,2848.287030281282,112661133.370845,5914.133724921769,2854.592359608691,36326927.199345,7263.168936499697,2847.860146665191
19234084,1708009211,55286663.296855,19410.49575028089,2848.287030281282,112674993.195343,5909.281149297999,2854.9094309482007,36326927.199345,7263.168936499697,2847.860146665191
19234130,1708009787,55387451.230457,19375.43519955378,2858.642949693981,113034414.173638,5783.995584342348,2864.0173249449485,36605325.772494,7164.273820660978,2857.500087535543
19234133,1708009823,55388001.520696,19375.24327844175,2858.699667648796,113025969.865705,5786.9455843423475,2863.8011196397783,36605325.772494,7164.273820660978,2857.500087535543
19234181,1708010399,55366809.116456,19382.70355821097,2856.5060054793703,112571326.241308,5977.653783372923,2851.4605247726563,36615325.772494,7160.7849659565245,2857.8425463512785
