bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1708257000,19254500,19254548,54,125.80306802522001,352849.300651,2804.7750042174134
1708257600,19254550,19254599,46,112.87144427504978,316521.759287,2804.2678227425417
1708258200,19254606,19254647,41,77.88577105296919,218540.81495199996,2805.9145078421698
1708258800,19254650,19254699,59,181.94027715500744,510575.79233900004,2806.2823709123263
1708259400,19254700,19254748,66,442.5110244904407,1239076.0067509997,2800.102004640037
1708260000,19254749,19254795,55,145.22208776712785,406657.110016,2800.2428299206013
1708260600,19254798,19254844,47,418.7254930440595,1170508.2686549998,2795.407225257803
1708261200,19254847,19254891,43,193.6606626955189,541360.124107,2795.4057193233307
1708261800,19254894,19254941,58,297.0523395233535,829081.100358,2791.0270011282632
1708262400,19254945,19254992,69,162.44456746655933,453944.02286,2794.454932778521
1708263000,19254993,19255042,43,137.20960912755427,383319.01682600006,2793.674723390946
1708263600,19255043,19255092,60,94.25409317624371,263489.393976,2795.522030892673
1708264200,19255093,19255136,55,532.9241571093061,1488575.477342,2793.221995070274
1708264800,19255141,19255189,63,151.19983537528202,422362.85170099995,2793.4081452713494
1708265400,19255191,19255237,63,475.94793803557485,1331767.1691269998,2798.136230243436
1708266000,19255242,19255290,63,120.24459683751328,336549.49924999994,2798.874195609635
1708266600,19255292,19255339,64,709.0354235942708,1988826.1671260002,2804.974336887377
1708267200,19255341,19255386,64,323.52203336037496,907910.468311,2806.3327213935627
1708267800,19255390,19255437,69,493.4009521555974,1386844.943541,2810.7869218372507
1708268400,19255438,19255487,43,163.1739488223167,458036.190283,2807.042383841336
1708269000,19255489,19255535,53,216.64561086514814,607642.6811309999,2804.777252142114
1708269600,19255537,19255586,54,250.4699422555807,702875.4972109998,2806.2269303906432
1708270200,19255590,19255633,64,445.56454541964644,1250879.099502,2807.402681297013
1708270800,19255634,19255683,55,197.01450327140725,552584.8025200001,2804.792506868183
1708271400,19255684,19255728,61,202.7809850167,569320.1048200001,2807.561590516556
1708272000,19255732,19255781,55,137.66242895783247,386242.898217,2805.7248527505676
1708272600,19255782,19255830,67,229.1177708485029,642613.7201510001,2804.731024447286
1708273200,19255833,19255877,57,256.1084812397024,716815.426479,2798.8742231777287
1708273800,19255882,19255929,54,212.91903131688247,595916.426661,2798.793621102434
1708274400,19255930,19255975,55,132.7351067388562,371785.955306,2800.961738309774
